fecha,AAPL.close,variacion_precio,AAPL.volume,mes,year,dia,mes_year
2023-11-29,189.3699951171875,0.9945903423722962,43014200,11,2023,333,11-2023
2023-11-30,189.9499969482422,1.0030627968844577,48794400,11,2023,334,11-2023
2023-12-01,191.24000549316406,1.0067913059523417,45679300,12,2023,335,12-2023
2023-12-04,189.42999267578125,0.9905353860834964,43389500,12,2023,338,12-2023
2023-12-05,193.4199981689453,1.0210632193814901,66628400,12,2023,339,12-2023
2023-12-06,192.32000732421875,0.9943129414996388,41089700,12,2023,340,12-2023
2023-12-07,194.27000427246094,1.0101393348272643,47477700,12,2023,341,12-2023
2023-12-08,195.7100067138672,1.0074123766394047,53377300,12,2023,342,12-2023
2023-12-11,193.17999267578125,0.9870726383358369,60943700,12,2023,345,12-2023
2023-12-12,194.7100067138672,1.007920147510585,52696900,12,2023,346,12-2023
2023-12-13,197.9600067138672,1.016691489332523,70404200,12,2023,347,12-2023
2023-12-14,198.11000061035156,1.0007576979763453,66831600,12,2023,348,12-2023
2023-12-15,197.57000732421875,0.9972742754809492,128256700,12,2023,349,12-2023
2023-12-18,195.88999938964844,0.9914966448737669,55751900,12,2023,352,12-2023
2023-12-19,196.94000244140625,1.0053601667008494,40714100,12,2023,353,12-2023
2023-12-20,194.8300018310547,0.9892860740114019,52242800,12,2023,354,12-2023
2023-12-21,194.67999267578125,0.999230051050333,46482500,12,2023,355,12-2023
2023-12-22,193.60000610351562,0.9944525035293985,37122800,12,2023,356,12-2023
2023-12-26,193.0500030517578,0.9971590752354432,28919300,12,2023,360,12-2023
2023-12-27,193.14999389648438,1.0005179530854489,48087700,12,2023,361,12-2023
2023-12-28,193.5800018310547,1.0022262901794383,34049900,12,2023,362,12-2023
2023-12-29,192.52999877929688,0.9945758702250959,42628800,12,2023,363,12-2023
2024-01-02,185.63999938964844,0.9642133722883016,82488700,1,2024,2,1-2024
2024-01-03,184.25,0.9925123928344187,58414500,1,2024,3,1-2024
2024-01-04,181.91000366210938,0.9872998841905529,71983600,1,2024,4,1-2024
2024-01-05,181.17999267578125,0.995986966238074,62303300,1,2024,5,1-2024
2024-01-08,185.55999755859375,1.0241748816639509,59144500,1,2024,8,1-2024
2024-01-09,185.13999938964844,0.9977365909976762,42841800,1,2024,9,1-2024
2024-01-10,186.19000244140625,1.0056714003198626,46792900,1,2024,10,1-2024
2024-01-11,185.58999633789062,0.9967774526255542,49128400,1,2024,11,1-2024
2024-01-12,185.9199981689453,1.0017781229460982,40444700,1,2024,12,1-2024
2024-01-16,183.6300048828125,0.9876829103448468,65603000,1,2024,16,1-2024
2024-01-17,182.67999267578125,0.9948264870567448,47317400,1,2024,17,1-2024
2024-01-18,188.6300048828125,1.0325706834113535,78005800,1,2024,18,1-2024
2024-01-19,191.55999755859375,1.0155330148965511,68741000,1,2024,19,1-2024
2024-01-22,193.88999938964844,1.0121633005885897,60133900,1,2024,22,1-2024
2024-01-23,195.17999267578125,1.0066532223951397,42355600,1,2024,23,1-2024
2024-01-24,194.5,0.9965160738738688,53631300,1,2024,24,1-2024
2024-01-25,194.1699981689453,0.9983033324881507,54822100,1,2024,25,1-2024
2024-01-26,192.4199981689453,0.9909872791033487,44594000,1,2024,26,1-2024
2024-01-29,191.72999572753906,0.9964140814469792,47145600,1,2024,29,1-2024
2024-01-30,188.0399932861328,0.9807541724110296,55859400,1,2024,30,1-2024
2024-01-31,184.39999389648438,0.9806424190618344,55467800,1,2024,31,1-2024
2024-02-01,186.86000061035156,1.0133406008421462,64885400,2,2024,32,2-2024
2024-02-02,185.85000610351562,0.9945949132851497,102518000,2,2024,33,2-2024
2024-02-05,187.67999267578125,1.0098465779508576,69668800,2,2024,36,2-2024
2024-02-06,189.3000030517578,1.00863176917731,43490800,2,2024,37,2-2024
2024-02-07,189.41000366210938,1.0005810914346445,53439000,2,2024,38,2-2024
2024-02-08,188.32000732421875,0.9942453074451385,40962000,2,2024,39,2-2024
2024-02-09,188.85000610351562,1.0028143519471322,45155200,2,2024,40,2-2024
2024-02-12,187.14999389648438,0.990998082329426,41781900,2,2024,43,2-2024
2024-02-13,185.0399932861328,0.9887256175305107,56529500,2,2024,44,2-2024
2024-02-14,184.14999389648438,0.9951902322636156,54630500,2,2024,45,2-2024
2024-02-15,183.86000061035156,0.9984252332568861,65434500,2,2024,46,2-2024
2024-02-16,182.30999755859375,0.9915696560066771,49701400,2,2024,47,2-2024
2024-02-20,181.55999755859375,0.995886127968605,53665600,2,2024,51,2-2024
2024-02-21,182.32000732421875,1.0041859978841414,41529700,2,2024,52,2-2024
2024-02-22,184.3699951171875,1.0112438992464676,52292200,2,2024,53,2-2024
2024-02-23,182.52000427246094,0.9899658789731448,45119700,2,2024,54,2-2024
2024-02-26,181.16000366210938,0.9925487586099253,40867400,2,2024,57,2-2024
2024-02-27,182.6300048828125,1.0081143806082324,54318900,2,2024,58,2-2024
2024-02-28,181.4199981689453,0.9933745459041979,48953900,2,2024,59,2-2024
2024-02-29,180.75,0.9963069221932117,136682600,2,2024,60,2-2024
2024-03-01,179.66000366210938,0.9939695914916148,73488000,3,2024,61,3-2024
2024-03-04,175.10000610351562,0.9746187383633264,81510100,3,2024,64,3-2024
2024-03-05,170.1199951171875,0.971559047328736,95132400,3,2024,65,3-2024
2024-03-06,169.1199951171875,0.9941217962103094,68587700,3,2024,66,3-2024
2024-03-07,169,0.9992904735060786,71765100,3,2024,67,3-2024
2024-03-08,170.72999572753906,1.0102366611096987,76114600,3,2024,68,3-2024
2024-03-11,172.75,1.011831572207643,60139500,3,2024,71,3-2024
2024-03-12,173.22999572753906,1.0027785570335113,59825400,3,2024,72,3-2024
2024-03-13,171.1300048828125,0.9878774409945176,52488700,3,2024,73,3-2024
2024-03-14,173,1.0109273363164342,72913500,3,2024,74,3-2024
2024-03-15,172.6199951171875,0.9978034399837428,121664700,3,2024,75,3-2024
2024-03-18,173.72000122070312,1.006372414173508,75604200,3,2024,78,3-2024
2024-03-19,176.0800018310547,1.0135850828561375,55215200,3,2024,79,3-2024
2024-03-20,178.6699981689453,1.014709202129471,53423100,3,2024,80,3-2024
2024-03-21,171.3699951171875,0.9591425358114397,106181300,3,2024,81,3-2024
2024-03-22,172.27999877929688,1.0053101691546824,71106600,3,2024,82,3-2024
2024-03-25,170.85000610351562,0.9916996013123196,54288300,3,2024,85,3-2024
2024-03-26,169.7100067138672,0.9933274840566425,57388400,3,2024,86,3-2024
2024-03-27,173.30999755859375,1.0212126020995107,60273300,3,2024,87,3-2024
2024-03-28,171.47999572753906,0.9894408755592072,65672700,3,2024,88,3-2024
2024-04-01,170.02999877929688,0.991544220991549,46240500,4,2024,92,4-2024
2024-04-02,168.83999633789062,0.9930012206672371,49329500,4,2024,93,4-2024
2024-04-03,169.64999389648438,1.0047974270087803,47691700,4,2024,94,4-2024
2024-04-04,168.82000732421875,0.9951076533915347,53704400,4,2024,95,4-2024
2024-04-05,169.5800018310547,1.0045018035414273,42055200,4,2024,96,4-2024
2024-04-08,168.4499969482422,0.9933364496366838,37425500,4,2024,99,4-2024
2024-04-09,169.6699981689453,1.0072425125723095,42451200,4,2024,100,4-2024
2024-04-10,167.77999877929688,0.9888607331287497,49709300,4,2024,101,4-2024
2024-04-11,175.0399932861328,1.043270917628185,91070300,4,2024,102,4-2024
2024-04-12,176.5500030517578,1.0086266557560741,101593300,4,2024,103,4-2024
2024-04-15,172.69000244140625,0.9781365021601277,73531800,4,2024,106,4-2024
2024-04-16,169.3800048828125,0.9808327204134656,73711200,4,2024,107,4-2024
2024-04-17,168,0.9918526104437931,50901200,4,2024,108,4-2024
2024-04-18,167.0399932861328,0.9942856743222191,43122900,4,2024,109,4-2024
2024-04-19,165,0.9877873960241462,67772100,4,2024,110,4-2024
2024-04-22,165.83999633789062,1.0050908868963069,48116400,4,2024,113,4-2024
2024-04-23,166.89999389648438,1.0063916882658033,49537800,4,2024,114,4-2024
2024-04-24,169.02000427246094,1.0127022795296892,48251800,4,2024,115,4-2024
2024-04-25,169.88999938964844,1.0051472908247303,50558300,4,2024,116,4-2024
2024-04-26,169.3000030517578,0.9965271861792321,44838400,4,2024,117,4-2024
2024-04-29,173.5,1.0248080146044545,68169400,4,2024,120,4-2024
2024-04-30,170.3300018310547,0.9817291171818714,65934800,4,2024,121,4-2024
2024-05-01,169.3000030517578,0.9939529221615432,50383100,5,2024,122,5-2024
2024-05-02,173.02999877929688,1.022031870409351,94214900,5,2024,123,5-2024
2024-05-03,183.3800048828125,1.059816252537326,163224100,5,2024,124,5-2024
2024-05-06,181.7100067138672,0.9908932374060492,78569700,5,2024,127,5-2024
2024-05-07,182.39999389648438,1.0037971886914498,77305800,5,2024,128,5-2024
2024-05-08,182.74000549316406,1.001864098728384,45057100,5,2024,129,5-2024
2024-05-09,184.57000732421875,1.0100142375836973,48983000,5,2024,130,5-2024
2024-05-10,183.0500030517578,0.9917646193198071,50759500,5,2024,131,5-2024
2024-05-13,186.27999877929688,1.0176454284276946,72044800,5,2024,134,5-2024
2024-05-14,187.42999267578125,1.0061734695298494,52393600,5,2024,135,5-2024
2024-05-15,189.72000122070312,1.0122179407480592,70400000,5,2024,136,5-2024
2024-05-16,189.83999633789062,1.000632485327933,52845200,5,2024,137,5-2024
2024-05-17,189.8699951171875,1.0001580213857753,41282900,5,2024,138,5-2024
2024-05-20,191.0399932861328,1.0061621014327367,44361300,5,2024,141,5-2024
2024-05-21,192.35000610351562,1.0068572700137228,42309400,5,2024,142,5-2024
2024-05-22,190.89999389648438,0.9924615952117469,34648500,5,2024,143,5-2024
2024-05-23,186.8800048828125,0.9789419112509155,51005900,5,2024,144,5-2024
2024-05-24,189.97999572753906,1.016588135507972,36294600,5,2024,145,5-2024
2024-05-28,189.99000549316406,1.0000526885243188,52280100,5,2024,149,5-2024
2024-05-29,190.2899932861328,1.001578966178721,53068000,5,2024,150,5-2024
2024-05-30,191.2899932861328,1.0052551370817295,49947900,5,2024,151,5-2024
2024-05-31,192.25,1.0050185934840365,75158300,5,2024,152,5-2024
2024-06-03,194.02999877929688,1.0092587712837289,50080500,6,2024,155,6-2024
2024-06-04,194.35000610351562,1.0016492672588364,47471400,6,2024,156,6-2024
2024-06-05,195.8699951171875,1.00782088482602,54156800,6,2024,157,6-2024
2024-06-06,194.47999572753906,0.9929034593133226,41181800,6,2024,158,6-2024
2024-06-07,196.88999938964844,1.0123920388474592,53103900,6,2024,159,6-2024
2024-06-10,193.1199951171875,0.9808522307676987,97262100,6,2024,162,6-2024
2024-06-11,207.14999389648438,1.0726491255904564,172373300,6,2024,163,6-2024
2024-06-12,213.07000732421875,1.0285783905486992,198134300,6,2024,164,6-2024
2024-06-13,214.24000549316406,1.0054911443597268,97862700,6,2024,165,6-2024
2024-06-14,212.49000549316406,0.9918315909487977,70122700,6,2024,166,6-2024
2024-06-17,216.6699981689453,1.0196714789765287,93728300,6,2024,169,6-2024
2024-06-18,214.2899932861328,0.9890155309783281,79943300,6,2024,170,6-2024
2024-06-20,209.67999267578125,0.9784870934024623,86172500,6,2024,172,6-2024
2024-06-21,207.49000549316406,0.9895555739263905,246421400,6,2024,173,6-2024
2024-06-24,208.13999938964844,1.003132651594179,80727000,6,2024,176,6-2024
2024-06-25,209.07000732421875,1.0044681845743129,56713900,6,2024,177,6-2024
2024-06-26,213.25,1.0199932679454067,66213200,6,2024,178,6-2024
2024-06-27,214.10000610351562,1.003985960626099,49772700,6,2024,179,6-2024
2024-06-28,210.6199951171875,0.9837458622740741,82542700,6,2024,180,6-2024
2024-07-01,216.75,1.0291045723337038,60402900,7,2024,183,7-2024
2024-07-02,220.27000427246094,1.0162399274392662,58046200,7,2024,184,7-2024
2024-07-03,221.5500030517578,1.0058110444203452,37369800,7,2024,185,7-2024
2024-07-05,226.33999633789062,1.0216203711133047,60412400,7,2024,187,7-2024
2024-07-08,227.82000732421875,1.0065388840252463,59085900,7,2024,190,7-2024
2024-07-09,228.67999267578125,1.003774845597027,48076100,7,2024,191,7-2024
